"column"	"row"	"left-p-value"	"p-value-log-sum"	"right-p-value"	"two-tail-p-value"	"corrected-left-p-value"	"corrected-right-p-value"	"corrected-two-tail-p-value"	"mean-group1"	"mean-group2"	"N"	"N-group1"	"N-group2"	"U1"	"U2"
No VS Yes	LASS1	0.9999024044490734	4.01052759272033	9.7595550926588E-5	1.95191101853176E-4	1	0.0015464265483912003	0.0014164562259480653	0.37567612687813023	-0.07098765432098769	842	599	243	84690.5	60866.5
No VS Yes	LASS2	0.07508427092128722	-1.090553197040836	0.9249157290787128	0.15016854184257444	0.3239449901679165	1	0.36272930027573963	-0.05873956594323877	0.04040983606557374	843	599	244	68464.5	77691.5
No VS Yes	LASS3	0.5	0	0.5	1	1	1	1	0	0	825	581	244	70882	70882
No VS Yes	LASS4	5.6540586703901496E-5	-4.247615133326727	0.9999434594132961	1.1308117340780299E-4	7.742792575708339E-4	1	8.886444545047441E-4	-0.23025876460767947	0.12924180327868856	843	599	244	60700	85456
No VS Yes	LASS5	5.263205406691451E-5	-4.278726822064179	0.9999473679459331	1.0526410813382903E-4	7.305744998102978E-4	1	8.368968909258815E-4	-0.0489899833055092	0.051577868852459026	843	599	244	60644	85512
No VS Yes	LASS6	0.0015394651387009017	-2.811961044906962	0.9984605348612992	0.0030789302774018035	0.01270027576166327	1	0.014496155790807892	-0.2454257095158596	0.016762295081967436	843	599	244	63588.5	82567.5
No VS Yes	LAT	0.71692621683938	0.40357481302351483	0.28307378316062	0.56614756632124	1	0.9546829658166093	1	0.046510851419031676	-0.04084016393442629	843	599	244	74917.5	71238.5
No VS Yes	LAT2	0.1981188669961788	-0.6071841596627522	0.8018811330038211	0.3962377339923576	0.6976098415035659	1	0.769771790024051	-0.06667779632721194	0.0018647540983606626	843	599	244	70358	75798
No VS Yes	LATS1	0.05740342445961555	-1.2153880561823327	0.9425965755403845	0.1148068489192311	0.2607466741448029	1	0.29217174477671687	-0.14166944908180304	-0.06479508196721308	843	599	244	68022	78134
No VS Yes	LATS2	0.07561439774388479	-1.0872486750931385	0.9243856022561152	0.15122879548776957	0.3257493832615519	1	0.3646419554673152	-0.10117056856187288	-0.06649377593360997	839	598	241	67500.5	76617.5
No VS Yes	LAX1	0.9262643078072401	1.0990571679559549	0.07373569219275983	0.14747138438551965	1	0.35537185426013884	0.3576132809263042	0.1776050420168067	-0.04037037037037036	838	595	243	76898	67687
No VS Yes	LAYN	8.772736439988105E-5	-4.056826816807223	0.9999122726356001	1.754547287997621E-4	0.0011242896253939472	1	0.0012902349363957965	-0.11557595993322206	0.14834016393442626	843	599	244	61048.5	85107.5
No VS Yes	LBH	0.8220930006373393	0.6647279158157477	0.17790699936266074	0.3558139987253215	1	0.6856839277497518	0.7097818748924011	0.004198664440734527	-0.06860655737704924	843	599	244	76038.5	70117.5
No VS Yes	LBP	0.5	0	0.5	1	1	1	1	0	0	831	588	243	71442	71442
No VS Yes	LBR	0.9990498958547425	3.021815965968787	9.501041452574799E-4	0.0019002082905149598	1	0.010298017110591312	0.009672881422888666	0.12786310517529217	-0.12174180327868853	843	599	244	83034.5	63121.5
No VS Yes	LBX1	0.5	0	0.5	1	1	1	1	0	0	841	598	243	72657	72657
No VS Yes	LBX2	0.44480641792967585	-0.09627339223972736	0.5551935820703242	0.8896128358593517	1	1	1	0.11653589315525875	0.10672131147540982	843	599	244	72633	73523
No VS Yes	LBXCOR1	0.7471627641348857	0.47057418633814985	0.2528372358651143	0.5056744717302286	1	0.8826562198429732	0.9252158310538626	0.03426544240400664	-4.303278688524672E-4	843	599	244	75212	70944
No VS Yes	LCA5	4.523912884857317E-6	-5.34448380198267	0.9999954760871151	9.047825769714635E-6	9.037624789680152E-5	1	1.0511262583208388E-4	-0.19888146911519197	0.08948770491803282	843	599	244	58846.5	87309.5
No VS Yes	LCA5L	9.437860842842483E-8	-7.025126389441192	0.9999999056213915	1.8875721685684965E-7	3.4038104494619693E-6	1	3.8851573817091165E-6	-0.13651085141903166	0.2060450819672132	843	599	244	56373.5	89782.5
No VS Yes	LCAT	0.6953941543105435	0.35849280193088695	0.3046058456894565	0.609211691378913	1	1	1	-0.019858096828046814	-0.046516393442623004	843	599	244	74717	71439
No VS Yes	LCE1A	0.5	0	0.5	1	1	1	1	0	0	812	571	241	68805.5	68805.5
No VS Yes	LCE1B	0.5	0	0.5	1	1	1	1	0	0	812	571	241	68805.5	68805.5
No VS Yes	LCE1C	0.5	0	0.5	1	1	1	1	0	0	810	569	241	68564.5	68564.5
No VS Yes	LCE1D	0.5	0	0.5	1	1	1	1	0	0	811	571	240	68520	68520
No VS Yes	LCE1E	0.5	0	0.5	1	1	1	1	0	0	811	570	241	68685	68685
No VS Yes	LCE1F	0.5	0	0.5	1	1	1	1	0	0	812	571	241	68805.5	68805.5
No VS Yes	LCE2A	0.5	0	0.5	1	1	1	1	0	0	811	570	241	68685	68685
No VS Yes	LCE2B	0.5	0	0.5	1	1	1	1	0	0	809	569	240	68280	68280
No VS Yes	LCE2C	0.5	0	0.5	1	1	1	1	0	0	812	571	241	68805.5	68805.5
No VS Yes	LCE2D	0.5	0	0.5	1	1	1	1	0	0	811	570	241	68685	68685
No VS Yes	LCE3A	0.5	0	0.5	1	1	1	1	0	0	813	572	241	68926	68926
No VS Yes	LCE3B	0.5	0	0.5	1	1	1	1	0	0	813	572	241	68926	68926
No VS Yes	LCE3C	0.5	0	0.5	1	1	1	1	0	0	813	572	241	68926	68926
No VS Yes	LCE3D	0.5	0	0.5	1	1	1	1	0	0	812	571	241	68805.5	68805.5
No VS Yes	LCE3E	0.5	0	0.5	1	1	1	1	0	0	813	572	241	68926	68926
No VS Yes	LCE4A	0.5	0	0.5	1	1	1	1	0	0	811	570	241	68685	68685
No VS Yes	LCE5A	0.5	0	0.5	1	1	1	1	0	0	812	571	241	68805.5	68805.5
No VS Yes	LCE6A	0.5	0	0.5	1	1	1	1	0	0	812	572	240	68640	68640
No VS Yes	LCK	0.9500897081818217	1.2795745045052682	0.0499102918181783	0.0998205836363566	1	0.2615797367229988	0.26084175849679897	-0.05373121869782971	-0.2891393442622951	843	599	244	78354.5	67801.5
No VS Yes	LCLAT1	0.8525050509843686	0.7619198127160334	0.14749494901563148	0.29498989803126296	1	0.5991835279289319	0.6161977603468012	0.01573455759599335	-0.013713692946058089	840	599	241	75510.5	68848.5
No VS Yes	LCMT1	0.002343356127406382	-2.6291428043249687	0.9976566438725936	0.004686712254812764	0.01812853751258916	1	0.02065782730182126	0.013272120200333897	0.10704918032786886	843	599	244	64011.5	82144.5
No VS Yes	LCMT2	0.0012313172744143897	-2.909094943880662	0.9987686827255856	0.0024626345488287793	0.01051133309624718	1	0.0120165479409684	-0.14174457429048412	0.005286885245901681	843	599	244	63370	82786
No VS Yes	LCN1	0.5	0	0.5	1	1	1	1	0	0	839	595	244	72590	72590
No VS Yes	LCN10	0.7614249974388025	0.5040021933567924	0.2385750025611974	0.4771500051223948	1	0.8456153813166671	0.8851862394736926	0.10037742785234918	0.03713104713114758	840	596	244	74981.5	70442.5
No VS Yes	LCN12	0.6578175124313237	0.2838476519204354	0.3421824875686763	0.6843649751373526	1	1	1	0.2381270903010034	0.14336065573770485	842	598	244	74257.5	71654.5
No VS Yes	LCN15	0.5	0	0.5	1	1	1	1	0	0	840	596	244	72712	72712
No VS Yes	LCN2	0.7244761639058401	0.41986492479765414	0.27552383609415987	0.5510476721883197	1	0.9349457465596496	0.9834207756333325	0.1040066777963272	0.024282786885246127	843	599	244	74989.5	71166.5
No VS Yes	LCN6	0.5	0	0.5	1	1	1	1	0	0	840	596	244	72712	72712
No VS Yes	LCN8	0.5	0	0.5	1	1	1	1	0	0	840	596	244	72712	72712
No VS Yes	LCN9	0.5	0	0.5	1	1	1	1	0	0	841	597	244	72834	72834
No VS Yes	LCNL1	0.5	0	0.5	1	1	1	1	0	0	841	597	244	72834	72834
No VS Yes	LCOR	0.010832650967107449	-1.9605350222922162	0.9891673490328925	0.021665301934214898	0.06587195725358057	1	0.07414743995859875	-0.23889816360601007	-0.05313524590163941	843	599	244	65716	80440
No VS Yes	LCORL	0.8204226332988972	0.6597860340687814	0.1795773667011028	0.3591547334022056	1	0.6899034693190746	0.7147666766809985	0.005993322203672771	-0.05788934426229511	843	599	244	76018	70138
No VS Yes	LCP1	0.9334033552348864	1.1466170083377492	0.06659664476511357	0.13319328953022713	1	0.32818375583524045	0.32997929006169463	0.038898163606010075	-0.10077868852459011	843	599	244	77892.5	68263.5
No VS Yes	LCP2	0.9385222531044503	1.1837266319299418	0.061477746895549745	0.12295549379109949	1	0.3082509961837149	0.3091257368268025	0.011210350584307204	-0.1124590163934426	843	599	244	78023.5	68132.5
No VS Yes	LCT	0.5	0	0.5	1	1	1	1	0	0	833	593	240	71160	71160
No VS Yes	LCTL	0.5	0	0.5	1	1	1	1	0	0	838	596	242	72116	72116
No VS Yes	LDB1	3.5704632306288175E-6	-5.4472738843856225	0.9999964295367694	7.140926461257635E-6	7.42401318882892E-5	1	8.589767325917758E-5	-0.07126878130217029	0.07237704918032786	843	599	244	58684	87472
No VS Yes	LDB2	0.013522030267088037	-1.8630454872201092	0.986477969732912	0.027044060534176073	0.07922323483394277	1	0.08919987398913982	-0.05855592654424041	0.09969262295081964	843	599	244	65989.5	80166.5
No VS Yes	LDB3	0.6708530168887465	0.3092374983797315	0.3291469831112535	0.658293966222507	1	1	1	0.05109348914858089	-0.00157786885245906	843	599	244	74496	71660
No VS Yes	LDHA	0.7700872566955115	0.5249768933554954	0.22991274330448846	0.45982548660897693	1	0.8251024956526174	0.8609633318598845	0.05213689482470787	0.02804979253112035	840	599	241	74530.5	69828.5
No VS Yes	LDHAL6A	0.5	0	0.5	1	1	1	1	0	0	841	597	244	72834	72834
No VS Yes	LDHB	0.9999999995496307	9.34643122368804	4.503692974111573E-10	9.007385948223146E-10	1	5.0148498215011757E-8	4.6000878061890484E-8	0.3818614357262102	-0.3366390041493778	840	599	241	91665	52694
No VS Yes	LDHC	0.5	0	0.5	1	1	1	1	0	0	839	595	244	72590	72590
No VS Yes	LDHD	0.08570801659462407	-1.0280634668245403	0.914291983405376	0.17141603318924814	0.36069232840740495	1	0.40283064332802554	-0.190542570951586	-0.011946721311475375	843	599	244	68693	77463
No VS Yes	LDLR	0.9945789810781218	2.2635583536634054	0.005421018921878129	0.010842037843756258	1	0.04278237899733177	0.04166098531816354	0.033926174496644285	-0.10541493775933612	837	596	241	79887	63749
No VS Yes	LDLRAD1	0.5	0	0.5	1	1	1	1	0	0	838	594	244	72468	72468
No VS Yes	LDLRAD2	1.0413581931362215E-4	-3.982354633737546	0.9998958641806863	2.082716386272443E-4	0.0013034248096767066	1	0.0014922472504596894	-0.08153589315525875	0.16008196721311477	843	599	244	61187	84969
No VS Yes	LDLRAD3	0.22420590234427495	-0.5390994296549778	0.775794097655725	0.4484118046885499	0.7682266137664858	1	0.8454188882437622	0.03351419031719537	0.052028688524590215	843	599	244	70647.5	75508.5
No VS Yes	LDLRAP1	0.009976811167095923	-1.9966536146595262	0.9900231888329041	0.019953622334191845	0.06158663470218528	1	0.06918410112367317	-0.0515108514190317	0.06217213114754102	843	599	244	65616.5	80539.5
No VS Yes	LDOC1	0.9998076202894908	3.715757175637817	1.923797105092273E-4	3.847594210184546E-4	1	0.0027072661333194235	0.002503270345495865	0.09065108514190315	-0.18706967213114756	843	599	244	84461	61695
No VS Yes	LDOC1L	0.471033572924642	-0.0503762461332945	0.528966427075358	0.942067145849284	1	1	1	-0.0590150250417362	-0.05956967213114755	843	599	244	72845	73311
No VS Yes	LEAP2	0.003084967948563111	-2.5094074883194497	0.9969150320514368	0.006169935897126222	0.022842438912743648	1	0.025933329986745263	0.04102671118530896	0.1330122950819672	843	599	244	64297.5	81858.5
No VS Yes	LECT1	0.5	0	0.5	1	1	1	1	0	0	840	597	243	72535.5	72535.5
No VS Yes	LECT2	0.5	0	0.5	1	1	1	1	0	0	842	598	244	72956	72956
No VS Yes	LEF1	5.1695546956609384E-5	-4.286524413657847	0.9999483044530434	1.0339109391321877E-4	7.19044478044252E-4	1	8.239344234140237E-4	-0.0038564273789648694	0.3611270491803279	843	599	244	60630	85526
No VS Yes	LEFTY1	0.968544345164956	1.4884207792091162	0.03145565483504398	0.06291130967008796	1	0.18127032765093076	0.1788925142544491	0.19359663865546214	0.024772727272727325	837	595	242	77892.5	66097.5
No VS Yes	LEFTY2	0.4635660304749662	-0.06340466770797182	0.5364339695250337	0.9271320609499324	1	1	1	0.21524617996604406	0.17545454545454536	831	589	242	70981.5	71556.5
No VS Yes	LEKR1	0.08877988625806965	-1.0113087132546246	0.9112201137419303	0.1775597725161393	0.37139555374269867	1	0.414495988608245	-0.033288814691151816	0.05413580246913581	842	599	243	68467	77090
No VS Yes	LELP1	0.5	0	0.5	1	1	1	1	0	0	810	571	239	68234.5	68234.5
No VS Yes	LEMD1	0.837570287333822	0.712355786365316	0.16242971266617795	0.3248594253323559	1	0.6424359967000598	0.6621647004098645	0.06372852233676941	-0.05569037656903766	821	582	239	72588	66510
No VS Yes	LEMD2	0.9995468646718872	3.3435752385172566	4.531353281126971E-4	9.062706562253942E-4	1	0.005565725485806166	0.005181559248570386	0.047696160267111855	-0.06672131147540983	843	599	244	83716.5	62439.5
No VS Yes	LEMD3	0.8858407841187573	0.889844694227803	0.11415921588124267	0.22831843176248534	1	0.49620783745991504	0.5066366856173542	0.009248747913188674	-0.040778688524590156	843	599	244	76940.5	69215.5
No VS Yes	LENEP	0.5	0	0.5	1	1	1	1	0	0	813	573	240	68760	68760
No VS Yes	LENG1	0.08245880264500993	-1.0463885487931057	0.9175411973549901	0.16491760529001986	0.34903677222629154	1	0.3902596728596835	-0.10612687813021704	0.022663934426229583	843	599	244	68625.5	77530.5
